sequence,fps,frames,left_arm__shape_mean_deg,left_arm__elbow_p95_deg,left_arm__upper_ori_p95_deg,left_arm__hand_ori_p95_deg,left_arm__limit_occupancy,left_arm__limit_longest_frames,left_arm__limit_longest_sec,left_arm__score,left_arm__status,right_arm__shape_mean_deg,right_arm__elbow_p95_deg,right_arm__upper_ori_p95_deg,right_arm__hand_ori_p95_deg,right_arm__limit_occupancy,right_arm__limit_longest_frames,right_arm__limit_longest_sec,right_arm__score,right_arm__status,waist__torso_ori_mean_deg,waist__torso_ori_p95_deg,waist__limit_occupancy,waist__limit_longest_frames,waist__limit_longest_sec,waist__score,waist__status,sequence_status,repair_region
gBR_sBM_c01_d04_mBR0_ch02,30.0,359,15.24843105368737,21.886397915998465,24.955030002834928,14.329568608107115,0.013927576601671309,4,0.13333333333333333,1.0527756950704559,GOOD,12.752009534625053,16.210960106617684,24.333211281595077,21.24682619833271,0.0,0,0.0,0.9709242543492277,GOOD,9.370429544849811,15.978526804053258,0.22841225626740946,33,1.1,1.1986054533716506,GOOD,GOOD,none
gBR_sBM_c01_d04_mBR0_ch03,30.0,359,14.635599328232681,35.524642944867885,20.29914858797447,15.020785997529988,0.0,0,0.0,1.0637095174775397,GOOD,13.410143708132669,31.14056677581186,21.049560067190743,14.844484552405103,0.0,0,0.0,1.201039979669186,GOOD,6.27336761651365,12.533921929062213,0.0,0,0.0,0.42189185572978327,GOOD,GOOD,none
gBR_sBM_c01_d04_mBR0_ch05,30.0,359,11.59735119657666,30.912744385530107,29.154657634948855,20.280233144100556,0.10584958217270195,12,0.4,1.1671658166438048,GOOD,11.645779616476993,26.168981002276333,27.219717322986966,16.197718158060432,0.06963788300835655,8,0.26666666666666666,1.2803787073077757,GOOD,10.50797762800064,32.79765847235517,0.3203342618384401,31,1.0333333333333334,2.6825053886961308,GOOD,GOOD,none
gBR_sBM_c01_d04_mBR0_ch06,30.0,359,13.273652664746791,26.469976961944308,58.7013082673518,22.357592430421786,0.19498607242339833,28,0.9333333333333333,3.172579026965061,GOOD,12.131840029927066,17.224749977287352,33.29886992547426,16.77502362689158,0.019498607242339833,3,0.1,1.2206820363596897,GOOD,10.328526181068469,28.602052666126013,0.32590529247910865,21,0.7,2.3295604827854763,GOOD,GOOD,none
gBR_sBM_c01_d04_mBR0_ch07,30.0,359,12.015089224180315,25.799580383327537,12.718856101265535,18.28969796264814,0.0,0,0.0,0.2474967296900969,GOOD,13.658127280605141,15.811056839390496,12.413174816427036,15.504255308351622,0.0,0,0.0,0.1328610721536593,GOOD,12.965500063384031,21.442911362089745,0.6908077994428969,65,2.1666666666666665,2.213178654430945,GOOD,GOOD,none
gBR_sBM_c01_d04_mBR0_ch08,30.0,359,13.874698354704304,24.825422070692756,16.741724840081925,18.047621185017242,0.0,0,0.0,0.3060215299443496,GOOD,12.990230878652891,21.202764810385045,16.580679613209828,17.352489659242842,0.0,0,0.0,0.3250548380647628,GOOD,16.47420565782106,31.026392710593907,0.9749303621169917,182,6.066666666666666,3.530919597797931,FAIL,FAIL,waist
gBR_sBM_c01_d04_mBR0_ch10,30.0,359,13.093303743769392,23.535285572375475,16.350625880548336,14.595246323603135,0.0,0,0.0,0.0,GOOD,13.014625039141242,19.435106986619196,14.493614463412303,14.057348147294139,0.0,0,0.0,0.0869148409642363,GOOD,13.245654436594148,20.78173937655605,0.9637883008356546,346,11.533333333333333,2.208475735174024,GOOD,GOOD,none
gHO_sBM_c01_d19_mHO0_ch02,30.0,261,13.86839589844346,20.944272604032747,8.406881211923293,10.33915707265252,0.0,0,0.0,0.19112059874910786,GOOD,15.042263774184857,14.567758443964593,11.155250281714551,13.143649723456901,0.0,0,0.0,0.5458164397835019,GOOD,4.585925011930772,8.949119988457937,0.0,0,0.0,0.0,GOOD,GOOD,none
gHO_sBM_c01_d19_mHO0_ch03,30.0,261,13.002452275428626,28.46136336675164,11.28210396135873,8.945044089472221,0.0,0,0.0,0.2653705483314566,GOOD,14.746403267177817,24.277423298638524,9.50806547576541,10.19196480557597,0.0,0,0.0,0.8716013448203807,GOOD,2.9700608865063387,5.444593768625467,0.0,0,0.0,0.0,GOOD,GOOD,none
gHO_sBM_c01_d19_mHO0_ch08,30.0,261,12.846551393229136,27.03556576816385,12.610642293846555,8.648878849788856,0.0,0,0.0,0.18503844098458724,GOOD,13.828001846410167,15.375811946787877,7.510184884713984,9.220110069713497,0.0,0,0.0,0.18354293344289369,GOOD,3.566227559509742,7.589600468699882,0.0,0,0.0,0.0,GOOD,GOOD,none
gHO_sBM_c01_d19_mHO0_ch09,30.0,261,12.89617387034999,21.03175478238761,7.948455467018136,7.334565182183369,0.0,0,0.0,0.0,GOOD,13.24619936012949,14.792641126297298,6.716499551957855,9.42937452928643,0.0,0,0.0,0.009962899447383228,GOOD,4.6274556265364195,9.465573749286737,0.0,0,0.0,0.0,GOOD,GOOD,none
gHO_sBM_c01_d19_mHO0_ch10,30.0,261,14.956543218681597,30.157986517004247,19.63439716495502,17.42639594951844,0.0,0,0.0,0.848881677506937,GOOD,15.437105868347546,23.949930970977178,15.446294990649745,13.574592607746943,0.0,0,0.0,1.0555466965622866,GOOD,4.449829898936871,8.19617755964879,0.0,0,0.0,0.0,GOOD,GOOD,none
gJB_sBM_c01_d07_mJB0_ch02,30.0,359,11.261183752320616,29.594806572771738,16.822520819967515,15.919451394270625,0.025069637883008356,4,0.13333333333333333,0.3292308615959552,GOOD,8.108870964324021,17.572819610022773,15.496890989192806,11.234625609010253,0.027855153203342618,4,0.13333333333333333,0.0,GOOD,8.600373474518939,13.455116455133261,0.052924791086350974,8,0.26666666666666666,0.8770252913896441,GOOD,GOOD,none
gJB_sBM_c01_d07_mJB0_ch05,30.0,359,16.399419936953315,35.99858261488554,52.827110916497276,20.834129631426336,0.31197771587743733,59,1.9666666666666666,3.2146577188339247,GOOD,12.14348244745369,25.011737884443715,35.032459507933424,21.021504078700534,0.08356545961002786,9,0.3,1.727944073522893,GOOD,8.640218300273094,24.092478274300845,0.0,0,0.0,1.7033370119554716,GOOD,GOOD,none
