sequence,split
gJS_sBM_c01_d01_mJS0_ch01,train
gJB_sBM_c01_d07_mJB0_ch02,train
gLO_sBM_c01_d13_mLO0_ch07,train
gBR_sBM_c01_d04_mBR0_ch05,train
gLO_sBM_c01_d13_mLO0_ch05,train
gJS_sBM_c01_d01_mJS0_ch04,train
gMH_sBM_c01_d22_mMH0_ch09,train
gPO_sBM_c01_d10_mPO0_ch01,train
gWA_sBM_c01_d25_mWA0_ch10,train
gBR_sBM_c01_d04_mBR0_ch07,train
gLO_sBM_c01_d13_mLO0_ch08,train
gLH_sBM_c01_d16_mLH0_ch04,train
gJS_sBM_c01_d01_mJS0_ch03,train
gLO_sBM_c01_d13_mLO0_ch04,train
gKR_sBM_c01_d28_mKR0_ch05,train
gJS_sBM_c01_d01_mJS0_ch05,train
gWA_sBM_c01_d25_mWA0_ch05,train
gKR_sBM_c01_d28_mKR0_ch10,train
gJS_sBM_c01_d01_mJS0_ch02,train
gWA_sBM_c01_d25_mWA0_ch08,train
gBR_sBM_c01_d04_mBR0_ch10,train
gKR_sBM_c01_d28_mKR0_ch06,train
gLH_sBM_c01_d16_mLH0_ch10,train
gMH_sBM_c01_d22_mMH0_ch08,train
gBR_sBM_c01_d04_mBR0_ch02,train
gPO_sBM_c01_d10_mPO0_ch06,train
gKR_sBM_c01_d28_mKR0_ch01,train
gLH_sBM_c01_d16_mLH0_ch09,train
gMH_sBM_c01_d22_mMH0_ch06,train
gHO_sBM_c01_d19_mHO0_ch03,train
gWA_sBM_c01_d25_mWA0_ch06,train
gJB_sBM_c01_d07_mJB0_ch06,train
gJS_sBM_c01_d01_mJS0_ch06,train
gKR_sBM_c01_d28_mKR0_ch07,train
gKR_sBM_c01_d28_mKR0_ch08,train
gHO_sBM_c01_d19_mHO0_ch10,train
gWA_sBM_c01_d25_mWA0_ch02,train
gMH_sBM_c01_d22_mMH0_ch07,train
gBR_sBM_c01_d04_mBR0_ch08,train
gLO_sBM_c01_d13_mLO0_ch09,train
gBR_sBM_c01_d04_mBR0_ch03,train
gMH_sBM_c01_d22_mMH0_ch10,train
gPO_sBM_c01_d10_mPO0_ch04,train
gLH_sBM_c01_d16_mLH0_ch08,train
gLO_sBM_c01_d13_mLO0_ch10,train
gPO_sBM_c01_d10_mPO0_ch03,train
gWA_sBM_c01_d25_mWA0_ch04,train
gJB_sBM_c01_d07_mJB0_ch05,train
gPO_sBM_c01_d10_mPO0_ch07,train
gLH_sBM_c01_d16_mLH0_ch01,train
gMH_sBM_c01_d22_mMH0_ch05,train
gJS_sBM_c01_d01_mJS0_ch10,train
gMH_sBM_c01_d22_mMH0_ch01,train
gJB_sBM_c01_d07_mJB0_ch08,train
gWA_sBM_c01_d25_mWA0_ch07,train
gPO_sBM_c01_d10_mPO0_ch09,train
gHO_sBM_c01_d19_mHO0_ch08,train
gLH_sBM_c01_d16_mLH0_ch06,train
gLO_sBM_c01_d13_mLO0_ch03,train
gLH_sBM_c01_d16_mLH0_ch03,train
gHO_sBM_c01_d19_mHO0_ch02,train
gJS_sBM_c01_d01_mJS0_ch09,train
gBR_sBM_c01_d04_mBR0_ch06,train
gWA_sBM_c01_d25_mWA0_ch03,train
gHO_sBM_c01_d19_mHO0_ch09,train
gLH_sBM_c01_d16_mLH0_ch02,train
gPO_sBM_c01_d10_mPO0_ch02,train
gKR_sBM_c01_d28_mKR0_ch02,train
gJS_sBM_c01_d01_mJS0_ch08,train
gLO_sBM_c01_d13_mLO0_ch06,train
gPO_sBM_c01_d10_mPO0_ch08,validation
gLO_sBM_c01_d13_mLO0_ch02,validation
gLH_sBM_c01_d16_mLH0_ch07,validation
gBR_sBM_c01_d04_mBR0_ch09,validation
gPO_sBM_c01_d10_mPO0_ch10,validation
gHO_sBM_c01_d19_mHO0_ch04,validation
gWA_sBM_c01_d25_mWA0_ch09,validation
gKR_sBM_c01_d28_mKR0_ch09,validation
gJB_sBM_c01_d07_mJB0_ch07,validation
gJB_sBM_c01_d07_mJB0_ch03,validation
gKR_sBM_c01_d28_mKR0_ch03,validation
gMH_sBM_c01_d22_mMH0_ch02,validation
gLH_sBM_c01_d16_mLH0_ch05,validation
gHO_sBM_c01_d19_mHO0_ch05,validation
gLO_sBM_c01_d13_mLO0_ch01,validation
gHO_sBM_c01_d19_mHO0_ch07,validation
gHO_sBM_c01_d19_mHO0_ch06,validation
gMH_sBM_c01_d22_mMH0_ch04,validation
gKR_sBM_c01_d28_mKR0_ch04,validation
gMH_sBM_c01_d22_mMH0_ch03,validation
gPO_sBM_c01_d10_mPO0_ch05,validation
gHO_sBM_c01_d19_mHO0_ch01,validation
